response_id;birth_year;gender;seniority;industry;household;metro_regional;remote_frequency;remote_preference;collaboration_easy;promotion_reduced;regular_breaks;remote_employer_advantages;remote_with_paycut;barrier_caring_responsibility;barrier_connectivity;barrier_systems_software;barrier_collaboration_remotely;barrier_poor_management;barrier_equipment;barrier_isolation;barrier_costs;barrier_cyber_security;barrier_non_remote_tasks;barrier_workspace;barrier_motivation;barrier_management;barrier_living_situation;barrier_skills;barrier_health_safety;biggest_barrier_hybrid;smallest_barrier_hybrid;remote_feel_better;remote_more_active;colleagues_in_person;productivity
115;1974;Male;Between 1 and 5 years;Financial and Insurance;Couple with dependent children;Regional;50% - I spent about half of my time remote working;100% - All of my time;Strongly agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Interruptions;Noisy work environment;Strongly agree;Somewhat agree;Strongly disagree;I知 20% more productive when working remotely
116;1986;Female;More than 5 years;Retail Trade;Multiple family household;Metro;40%;30%;Neither agree nor disagree;Somewhat agree;Somewhat agree;Neither positive nor negative;Yes;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat improved;Stayed about the same;Significantly improved;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat improved;Somewhat worsened;Lack of privacy;Interruptions;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 30% more productive when working remotely
117;1977;Female;More than 5 years;Health Care and Social Assistance;Couple with dependent children;Metro;20%;20%;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;No;Stayed about the same;Significantly improved;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Significantly improved;Stayed about the same;Significantly improved;Somewhat improved;Noisy work environment;Difficulty collaborating with remote colleagues;Neither agree nor disagree;Somewhat agree;Strongly agree;I知 20% more productive when working remotely
118;1989;Male;More than 5 years;Other Services;Single person;Metro;Rarely or never;100% - All of my time;Somewhat agree;Somewhat agree;Somewhat disagree;Strongly Positive;No;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat improved;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Stayed about the same;Somewhat worsened;Somewhat worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Noisy work environment;Interruptions;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;I知 10% less productive when working remotely
119;1983;Male;Between 1 and 5 years;Information Media and Telecommunications;Couple with dependent children;Metro;70%;70%;Strongly agree;Neither agree nor disagree;Somewhat agree;Neither positive nor negative;Yes;Somewhat worsened;Stayed about the same;Somewhat improved;Significantly improved;Significantly worsened;Somewhat improved;Somewhat worsened;Somewhat worsened;Significantly improved;Somewhat improved;Significantly worsened;Somewhat improved;Somewhat worsened;Significantly improved;Significantly improved;Somewhat worsened;NA;NA;Neither agree nor disagree;Somewhat agree;Somewhat agree;I知 30% less productive when working remotely
120;1999;Female;Between 1 and 5 years;Public Administration and Safety;Couple with dependent children;Metro;100% - I spent all of my time remote working;60%;Strongly agree;Strongly disagree;Neither agree nor disagree;Strongly Positive;Yes;Significantly improved;Significantly improved;Significantly improved;Stayed about the same;Not a barrier for me;Significantly improved;Somewhat improved;Not a barrier for me;Significantly improved;Not a barrier for me;Significantly improved;Significantly improved;Not a barrier for me;Somewhat improved;Not a barrier for me;Stayed about the same;NA;NA;Strongly agree;Strongly agree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
121;1981;Female;Between 1 and 5 years;Information Media and Telecommunications;Single person;Metro;Less than 10% of my time;Less than 10% of my time;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Somewhat Negative;No;Not a barrier for me;Stayed about the same;Somewhat improved;Somewhat worsened;Not a barrier for me;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat improved;Stayed about the same;Not a barrier for me;Not a barrier for me;Difficulty collaborating with remote colleagues;Interruptions;Somewhat agree;Somewhat agree;Somewhat agree;My productivity is about same when I work remotely
122;1971;Male;Between 6 and 12 months;Education and Training;Couple with dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Neither agree nor disagree;Strongly disagree;Strongly disagree;Strongly Positive;Yes;Significantly improved;Significantly improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Significantly improved;Stayed about the same;Significantly improved;NA;NA;Strongly agree;Strongly agree;Neither agree nor disagree;I知 20% more productive when working remotely
123;1986;Female;Between 6 and 12 months;Education and Training;Couple with dependent children;Metro;60%;80%;Strongly agree;Somewhat disagree;Strongly disagree;Somewhat Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Somewhat worsened;Stayed about the same;Not a barrier for me;Stayed about the same;Stayed about the same;Somewhat improved;Noisy work environment;Difficulty collaborating with remote colleagues;Strongly agree;Strongly disagree;Somewhat agree;I知 50% more productive when working remotely (or more)
124;1981;Male;More than 5 years;Financial and Insurance;Couple with dependent children;Metro;40%;50% - About half of my time;Somewhat agree;Somewhat agree;Strongly agree;Strongly Positive;Yes;Somewhat improved;Somewhat improved;Significantly improved;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Significantly improved;NA;NA;Somewhat agree;Strongly agree;Somewhat agree;I知 20% more productive when working remotely
125;1978;Male;More than 5 years;Accommodation and Food;Couple with dependent children;Regional;10%;10%;Somewhat agree;Somewhat agree;Strongly agree;Strongly Positive;No;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Stayed about the same;NA;NA;Somewhat agree;Somewhat agree;Somewhat agree;I知 10% less productive when working remotely
126;1995;Male;Between 1 and 5 years;Health Care and Social Assistance;Group household;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Positive;No;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;NA;NA;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;I知 50% more productive when working remotely (or more)
127;1972;Male;Between 1 and 5 years;Information Media and Telecommunications;Couple with dependent children;Metro;20%;20%;Strongly agree;Neither agree nor disagree;Strongly agree;Somewhat Positive;Yes;Somewhat improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Not a barrier for me;Stayed about the same;Significantly worsened;Somewhat improved;Somewhat worsened;Significantly improved;Significantly improved;Somewhat improved;Somewhat improved;Significantly improved;Lack of privacy;Interruptions;Strongly agree;Strongly agree;Somewhat agree;I知 20% more productive when working remotely
128;1992;Male;Between 1 and 5 years;Manufacturing;Couple with dependent children;Metro;10%;10%;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Positive;No;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Noisy work environment;Interruptions;Strongly disagree;Somewhat disagree;Somewhat disagree;I知 10% less productive when working remotely
129;1980;Male;Between 1 and 5 years;Retail Trade;Multiple family household;Metro;40%;50% - About half of my time;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat Negative;Yes;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Significantly improved;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Stayed about the same;Somewhat worsened;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Significantly improved;NA;NA;Neither agree nor disagree;Strongly agree;Somewhat agree;I知 20% more productive when working remotely
130;1979;Male;More than 5 years;Financial and Insurance;Couple with no dependent children;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Somewhat disagree;Somewhat disagree;Somewhat agree;Somewhat Positive;Yes;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Interruptions;Difficulty collaborating with remote colleagues;Somewhat agree;Somewhat agree;Somewhat agree;I知 50% more productive when working remotely (or more)
131;1992;Female;Between 1 and 5 years;Health Care and Social Assistance;Multiple family household;Metro;30%;30%;Neither agree nor disagree;Somewhat disagree;Somewhat disagree;Neither positive nor negative;No;Stayed about the same;Significantly worsened;Somewhat worsened;Stayed about the same;Significantly worsened;Somewhat improved;Somewhat worsened;Not a barrier for me;Somewhat improved;Significantly improved;Somewhat improved;Significantly worsened;Somewhat worsened;Significantly worsened;Stayed about the same;Somewhat worsened;Interruptions;Difficulty collaborating with remote colleagues;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 30% more productive when working remotely
132;1968;Male;More than 5 years;Professional, Scientific and Technical;Couple with dependent children;Metro;60%;100% - All of my time;Strongly agree;Strongly disagree;Neither agree nor disagree;Strongly Positive;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Noisy work environment;Difficulty collaborating with remote colleagues;Strongly agree;Strongly agree;Strongly disagree;I知 20% more productive when working remotely
133;1999;Male;Between 1 and 5 years;Retail Trade;Multiple family household;Regional;Rarely or never;I would not have preferred to work remotely;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Somewhat disagree;Somewhat disagree;Somewhat agree;I知 10% less productive when working remotely
134;1998;Female;Between 1 and 5 years;Administrative and Support;Other one family household;Metro;90%;100% - All of my time;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Somewhat Positive;Yes;Not a barrier for me;Significantly improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Significantly improved;Significantly improved;Significantly improved;Somewhat improved;Not a barrier for me;Stayed about the same;Significantly improved;NA;NA;Somewhat agree;Somewhat agree;Somewhat agree;My productivity is about same when I work remotely
135;1996;Female;Between 1 and 5 years;Financial and Insurance;Single person;Metro;100% - I spent all of my time remote working;90%;Somewhat disagree;Strongly disagree;Strongly agree;Somewhat Positive;No;Somewhat improved;Somewhat worsened;Somewhat improved;Somewhat improved;Not a barrier for me;Somewhat improved;Significantly worsened;Somewhat improved;Stayed about the same;Significantly worsened;Somewhat improved;Somewhat improved;Not a barrier for me;Significantly improved;Not a barrier for me;Somewhat improved;NA;NA;Somewhat agree;Somewhat agree;Somewhat agree;I知 50% more productive when working remotely (or more)
136;1986;Female;More than 5 years;Education and Training;Single person;Metro;Rarely or never;20%;Somewhat disagree;Somewhat disagree;Somewhat agree;Somewhat Negative;No;Not a barrier for me;Not a barrier for me;Somewhat worsened;Somewhat worsened;Significantly worsened;Significantly worsened;Stayed about the same;Significantly worsened;Somewhat worsened;Significantly worsened;Somewhat worsened;Somewhat worsened;Significantly worsened;Stayed about the same;Significantly worsened;Stayed about the same;NA;NA;Neither agree nor disagree;Somewhat disagree;Somewhat agree;I知 30% less productive when working remotely
137;1980;Male;Between 1 and 5 years;Retail Trade;Couple with dependent children;Metro;60%;60%;Neither agree nor disagree;Strongly agree;Neither agree nor disagree;Somewhat Negative;Yes;Somewhat improved;Stayed about the same;Stayed about the same;Significantly improved;Somewhat improved;Somewhat improved;Somewhat worsened;Somewhat improved;Stayed about the same;Somewhat improved;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;NA;NA;Strongly agree;Strongly agree;Somewhat agree;I知 20% more productive when working remotely
138;1999;Female;Between 1 and 5 years;Other Services;Couple with no dependent children;Metro;Rarely or never;Less than 10% of my time;Strongly agree;Strongly disagree;Strongly disagree;Neither positive nor negative;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat improved;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Noisy work environment;Difficulty collaborating with remote colleagues;Neither agree nor disagree;Somewhat agree;Strongly agree;My productivity is about same when I work remotely
139;1966;Male;More than 5 years;Public Administration and Safety;Couple with dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Strongly disagree;Strongly disagree;Neither positive nor negative;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Lack of privacy;Noisy work environment;Strongly agree;Strongly agree;Neither agree nor disagree;I知 30% more productive when working remotely
140;1993;Male;Between 1 and 5 years;Accommodation and Food;Single person;Metro;40%;20%;Somewhat agree;Strongly agree;Strongly agree;Somewhat Positive;No;Somewhat worsened;Significantly worsened;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat improved;Significantly worsened;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;NA;NA;Somewhat agree;Somewhat agree;Somewhat agree;I知 50% more productive when working remotely (or more)
141;1981;Male;Between 6 and 12 months;Construction;Couple with dependent children;Metro;70%;70%;Somewhat agree;Strongly agree;Neither agree nor disagree;Strongly Positive;Yes;Significantly improved;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;NA;NA;Somewhat agree;Strongly agree;Strongly agree;I知 30% more productive when working remotely
142;1993;Female;Between 1 and 5 years;Financial and Insurance;Multiple family household;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Strongly agree;Somewhat disagree;Strongly Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
143;1990;Male;Between 1 and 5 years;Administrative and Support;Couple with dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Negative;Yes;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Significantly improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Difficulty collaborating with remote colleagues;Interruptions;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;I知 20% more productive when working remotely
144;1999;Female;Between 6 and 12 months;Retail Trade;Couple with no dependent children;Metro;Less than 10% of my time;I would not have preferred to work remotely;Somewhat disagree;Somewhat agree;Somewhat disagree;Neither positive nor negative;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Somewhat improved;Not a barrier for me;Not a barrier for me;NA;NA;Strongly disagree;Strongly disagree;Neither agree nor disagree;I知 50% less productive when working remotely (or worse)
145;1983;Male;Between 6 and 12 months;Education and Training;Couple with dependent children;Metro;40%;100% - All of my time;Somewhat agree;Somewhat disagree;Somewhat disagree;Strongly Positive;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat worsened;Somewhat worsened;Significantly improved;Somewhat improved;Not a barrier for me;Not a barrier for me;Somewhat improved;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat improved;NA;NA;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 30% more productive when working remotely
146;1995;Female;Between 1 and 5 years;Rental, Hiring and Real Estate;Couple with no dependent children;Metro;20%;50% - About half of my time;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither positive nor negative;No;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Significantly worsened;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat worsened;Significantly improved;Stayed about the same;Stayed about the same;Noisy work environment;Difficulty collaborating with remote colleagues;Strongly agree;Strongly disagree;Somewhat agree;I知 30% less productive when working remotely
147;1988;Female;Between 1 and 5 years;Health Care and Social Assistance;Couple with dependent children;Metro;Less than 10% of my time;50% - About half of my time;Strongly agree;Somewhat agree;Somewhat agree;Somewhat Positive;Yes;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Significantly improved;Significantly improved;Lack of privacy;Interruptions;Somewhat agree;Strongly agree;Neither agree nor disagree;I知 30% more productive when working remotely
148;1989;Female;Between 1 and 5 years;Construction;Couple with dependent children;Metro;50% - I spent about half of my time remote working;30%;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Neither positive nor negative;No;Somewhat improved;Somewhat improved;Significantly improved;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Somewhat improved;Stayed about the same;Somewhat improved;Interruptions;Difficulty collaborating with remote colleagues;Somewhat agree;Neither agree nor disagree;Somewhat agree;I知 30% more productive when working remotely
149;1992;Male;More than 5 years;Retail Trade;Couple with dependent children;Metro;10%;50% - About half of my time;Somewhat agree;Somewhat disagree;Somewhat disagree;Neither positive nor negative;No;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Lack of privacy;Noisy work environment;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 20% more productive when working remotely
150;1991;Female;More than 5 years;Professional, Scientific and Technical;Couple with dependent children;Metro;30%;70%;Neither agree nor disagree;Somewhat agree;Strongly disagree;Somewhat Positive;Yes;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Significantly improved;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;NA;NA;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 30% more productive when working remotely
151;1990;Female;Between 1 and 5 years;Manufacturing;Couple with no dependent children;Metro;80%;70%;Strongly agree;Somewhat disagree;Strongly agree;Neither positive nor negative;No;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Noisy work environment;Interruptions;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
152;1992;Female;More than 5 years;Construction;Couple with dependent children;Regional;50% - I spent about half of my time remote working;60%;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Somewhat worsened;Somewhat worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Significantly improved;Stayed about the same;Not a barrier for me;Not a barrier for me;NA;NA;Somewhat agree;Somewhat agree;Somewhat agree;I知 40% more productive when working remotely
153;1979;Male;More than 5 years;Professional, Scientific and Technical;Couple with dependent children;Metro;80%;80%;Somewhat agree;Somewhat disagree;Somewhat agree;Neither positive nor negative;Yes;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Significantly improved;Stayed about the same;Significantly improved;Somewhat improved;Somewhat improved;Significantly improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Significantly improved;Difficulty collaborating with remote colleagues;Noisy work environment;Somewhat agree;Somewhat agree;Strongly agree;I知 20% more productive when working remotely
154;1990;Male;Between 1 and 5 years;Retail Trade;Couple with dependent children;Metro;40%;20%;Strongly agree;Neither agree nor disagree;Strongly agree;Somewhat Positive;Yes;Somewhat improved;Significantly improved;Stayed about the same;Somewhat improved;Significantly improved;Somewhat improved;Stayed about the same;Somewhat improved;Significantly improved;Significantly improved;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Significantly improved;Stayed about the same;NA;NA;Somewhat agree;Strongly agree;Somewhat agree;I知 30% more productive when working remotely
155;1982;Female;More than 5 years;Retail Trade;Couple with dependent children;Metro;20%;30%;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;No;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Interruptions;Difficulty collaborating with remote colleagues;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;I知 10% more productive when working remotely
156;1980;Male;Between 1 and 5 years;Information Media and Telecommunications;Couple with dependent children;Metro;20%;20%;Somewhat disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Positive;Yes;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Significantly improved;Stayed about the same;Somewhat improved;NA;NA;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 10% more productive when working remotely
157;1990;Male;Between 1 and 5 years;Retail Trade;Couple with dependent children;Metro;30%;30%;Strongly agree;Strongly agree;Somewhat agree;Somewhat Positive;Yes;Significantly improved;Somewhat improved;Stayed about the same;Somewhat improved;Significantly improved;Significantly improved;Somewhat improved;Stayed about the same;Significantly improved;Significantly improved;Somewhat improved;Somewhat improved;Significantly improved;Significantly improved;Stayed about the same;Somewhat improved;NA;NA;Somewhat agree;Somewhat agree;Strongly agree;I知 40% more productive when working remotely
158;1999;Female;Between 1 and 5 years;Retail Trade;Couple with no dependent children;Regional;Rarely or never;20%;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Significantly worsened;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Stayed about the same;Stayed about the same;Significantly worsened;Interruptions;Difficulty collaborating with remote colleagues;Neither agree nor disagree;Strongly disagree;Somewhat agree;I知 10% less productive when working remotely
159;1994;Male;Between 1 and 5 years;Financial and Insurance;Couple with dependent children;Metro;40%;30%;Strongly agree;Neither agree nor disagree;Strongly agree;Neither positive nor negative;No;Stayed about the same;Somewhat improved;Significantly improved;Significantly improved;Significantly improved;Stayed about the same;Somewhat worsened;Stayed about the same;Significantly worsened;Somewhat worsened;Somewhat improved;Significantly worsened;Somewhat worsened;Stayed about the same;Significantly improved;Somewhat improved;Interruptions;Noisy work environment;Strongly agree;Neither agree nor disagree;Somewhat agree;I知 40% more productive when working remotely
160;1985;Male;More than 5 years;Administrative and Support;Couple with dependent children;Metro;20%;20%;Somewhat agree;Strongly disagree;Somewhat agree;Strongly Positive;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Difficulty collaborating with remote colleagues;Noisy work environment;Somewhat agree;Somewhat agree;Somewhat agree;I知 30% more productive when working remotely
161;1977;Male;More than 5 years;Administrative and Support;Single person;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat Positive;No;Somewhat improved;Significantly improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Significantly improved;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Lack of privacy;Interruptions;Somewhat agree;Strongly agree;Neither agree nor disagree;I知 40% more productive when working remotely
162;1994;Female;Between 1 and 5 years;Health Care and Social Assistance;Couple with no dependent children;Regional;40%;70%;Strongly agree;Neither agree nor disagree;Somewhat agree;Strongly Positive;No;Significantly improved;Somewhat improved;Stayed about the same;Not a barrier for me;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Significantly worsened;Somewhat improved;Somewhat improved;Somewhat worsened;Somewhat improved;Stayed about the same;Somewhat improved;Interruptions;Lack of privacy;Strongly agree;Strongly agree;Somewhat agree;I知 50% more productive when working remotely (or more)
163;1984;Female;Between 1 and 5 years;Arts and Recreation;Group household;Metro;10%;20%;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Positive;Yes;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Somewhat disagree;Neither agree nor disagree;Neither agree nor disagree;I知 20% more productive when working remotely
164;1984;Male;More than 5 years;Financial and Insurance;Couple with no dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Neither agree nor disagree;Somewhat agree;Somewhat agree;My productivity is about same when I work remotely
